Empresa,Título da Vaga,Tipo de Trabalho,Link,Data
,"Analista de Sistemas SR | Fullstack (NodeJS, Python e .Net)",Remoto,https://riachuelo.gupy.io/job/eyJqb2JJZCI6OTE2NzkyMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Hitss | Desenvolvedor(a) Python,Remoto,https://globalhitss.gupy.io/job/eyJqb2JJZCI6OTE2NDQ1Niwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Analista GIS Sênior (ArcGIS e Python) (Soluções),Remoto,https://geosistemas.gupy.io/job/eyJqb2JJZCI6OTA0OTUyNSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Dev Python Pl - Projeto Internacional,Remoto,https://db.gupy.io/job/eyJqb2JJZCI6OTEyMjU5Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor(a) Fullstack (Python / Vue.js),Remoto,https://carreirasomie.gupy.io/job/eyJqb2JJZCI6OTE0MDAyMCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Software Engineer Python,Remoto,https://softdesign.gupy.io/job/eyJqb2JJZCI6OTEyNjkzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Pessoa Desenvolvedora Python - Sênior,Híbrido,https://fcamara.gupy.io/job/eyJqb2JJZCI6OTEyNDIxMywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Pessoa Desenvolvedora Web Sênior | Python,Remoto,https://pulsus.gupy.io/job/eyJqb2JJZCI6OTExNjc4OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor Python Pleno,Híbrido,https://medsenior.gupy.io/job/eyJqb2JJZCI6OTExNTA0OCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor Python Pleno,Presencial,https://stefanini.gupy.io/job/eyJqb2JJZCI6OTExMDkxNCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,9089192 - ANALISTA DE INTELIGÊNCIA ARTIFICIAL JÚNIOR [Python / SQL],Remoto,https://qualitydigital.gupy.io/job/eyJqb2JJZCI6OTA4OTE5Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Pessoa Desenvolvedora Python - Sênior,Híbrido,https://fcamara.gupy.io/job/eyJqb2JJZCI6OTEwMjQ1Miwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,"Engenheiro de Software Sênior Multi Stack/Full Stack (PHP Laravel, Python, Vue, IA)",Híbrido,https://loglabdigital.gupy.io/job/eyJqb2JJZCI6OTEwNDg0Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Sr Backend Developer - kotlin/python,Remoto,https://invillia.gupy.io/job/eyJqb2JJZCI6OTA1OTk1OSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Programador(a) Back-end PL (Python),Híbrido,https://redemoura.gupy.io/job/eyJqb2JJZCI6OTA5MjI1NCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Engenheiro de restauração de site com Python,Remoto,https://techmoportunidades.gupy.io/job/eyJqb2JJZCI6OTA3MDE4MSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor (a) Python Sênior,Híbrido,https://vetta.gupy.io/job/eyJqb2JJZCI6OTA3MDAwMiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Sr Backend Developer - kotlin/python,Remoto,https://invillia.gupy.io/job/eyJqb2JJZCI6OTA2MDA5Nywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor Python,Presencial,https://havanlabs.gupy.io/job/eyJqb2JJZCI6ODk5MDM2Mywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
,Desenvolvedor(a) de Software Sênior (Fullstack Python),Remoto,https://zarpo.gupy.io/job/eyJqb2JJZCI6OTA2NTczNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,
